time,Xm
90.1,-4.733784089
90.2,-4.732595391
90.3,-4.731421672
90.4,-4.730262946
90.5,-4.729119221
90.6,-4.72799051
90.7,-4.726876822
90.8,-4.725778169
90.9,-4.724694561
91,-4.723626007
91.1,-4.722572517
91.2,-4.721534103
91.3,-4.720510772
91.4,-4.719502535
91.5,-4.718509402
91.6,-4.717531381
91.7,-4.716568482
91.8,-4.715620713
91.9,-4.714688083
92,-4.713770602
92.1,-4.712868277
92.2,-4.711981117
92.3,-4.711109131
92.4,-4.710252326
92.5,-4.70941071
92.6,-4.708584293
92.7,-4.70777308
92.8,-4.70697708
92.9,-4.7061963
93,-4.705430747
93.1,-4.704680429
93.2,-4.703945353
93.3,-4.703225525
93.4,-4.702520952
93.5,-4.70183164
93.6,-4.701157597
93.7,-4.700498827
93.8,-4.699855338
93.9,-4.699227135
94,-4.698614224
94.1,-4.698016611
94.2,-4.697434301
94.3,-4.6968673
94.4,-4.696315613
94.5,-4.695779245
94.6,-4.695258201
94.7,-4.694752485
94.8,-4.694262103
94.9,-4.693787059
95,-4.693327357
95.1,-4.692883001
95.2,-4.692453996
95.3,-4.692040345
95.4,-4.691642052
95.5,-4.69125912
95.6,-4.690891554
95.7,-4.690539356
95.8,-4.69020253
95.9,-4.689881078
96,-4.689575005
96.1,-4.689284311
96.2,-4.689009001
96.3,-4.688749076
96.4,-4.688504539
96.5,-4.688275393
96.6,-4.688061638
96.7,-4.687863278
96.8,-4.687680314
96.9,-4.687512748
97,-4.687360581
97.1,-4.687223815
97.2,-4.687102451
97.3,-4.686996491
97.4,-4.686905934
97.5,-4.686830783
97.6,-4.686771037
97.7,-4.686726697
97.8,-4.686697764
97.9,-4.686684237
98,-4.686686117
98.1,-4.686703403
98.2,-4.686736096
98.3,-4.686784194
98.4,-4.686847698
98.5,-4.686926606
98.6,-4.687020917
98.7,-4.687130631
98.8,-4.687255746
98.9,-4.687396261
99,-4.687552175
99.1,-4.687723485
99.2,-4.68791019
99.3,-4.688112287
99.4,-4.688329775
99.5,-4.688562651
99.6,-4.688810913
99.7,-4.689074557
99.8,-4.689353581
99.9,-4.689647983
100,-4.689957758
100.1,-4.690282905
100.2,-4.690623418
100.3,-4.690979296
100.4,-4.691350533
100.5,-4.691737127
100.6,-4.692139073
100.7,-4.692556367
100.8,-4.692989006
100.9,-4.693436984
101,-4.693900296
101.1,-4.694378939
101.2,-4.694872908
101.3,-4.695382197
101.4,-4.6959068
101.5,-4.696446714
101.6,-4.697001932
101.7,-4.697572449
101.8,-4.698158259
101.9,-4.698759356
102,-4.699375734
102.1,-4.700007388
102.2,-4.700654309
102.3,-4.701316493
102.4,-4.701993933
102.5,-4.702686621
102.6,-4.703394551
102.7,-4.704117716
102.8,-4.704856109
102.9,-4.705609721
103,-4.706378547
103.1,-4.707162578
103.2,-4.707961806
103.3,-4.708776224
103.4,-4.709605823
103.5,-4.710450595
103.6,-4.711310532
103.7,-4.712185625
103.8,-4.713075866
103.9,-4.713981245
104,-4.714901754
104.1,-4.715837383
104.2,-4.716788123
104.3,-4.717753965
104.4,-4.718734899
104.5,-4.719730916
104.6,-4.720742004
104.7,-4.721768154
104.8,-4.722809357
104.9,-4.7238656
105,-4.724936874
105.1,-4.726023168
105.2,-4.72712447
105.3,-4.72824077
105.4,-4.729372057
105.5,-4.730518318
105.6,-4.731679543
105.7,-4.73285572
105.8,-4.734046836
105.9,-4.73525288
106,-4.73647384
106.1,-4.737709703
106.2,-4.738960456
106.3,-4.740226087
106.4,-4.741506584
106.5,-4.742801932
106.6,-4.74411212
106.7,-4.745437134
106.8,-4.746776961
106.9,-4.748131587
107,-4.749500999
107.1,-4.750885183
107.2,-4.752284124
107.3,-4.75369781
107.4,-4.755126225
107.5,-4.756569355
107.6,-4.758027186
107.7,-4.759499703
107.8,-4.760986891
107.9,-4.762488735
108,-4.76400522
108.1,-4.765536331
108.2,-4.767082052
108.3,-4.768642368
108.4,-4.770217262
108.5,-4.77180672
108.6,-4.773410725
108.7,-4.775029261
108.8,-4.776662312
108.9,-4.778309862
109,-4.779971893
109.1,-4.78164839
109.2,-4.783339335
109.3,-4.785044712
109.4,-4.786764503
109.5,-4.788498692
109.6,-4.790247259
109.7,-4.792010189
109.8,-4.793787463
109.9,-4.795579064
110,-4.797384973
110.1,-4.799205172
110.2,-4.801039643
110.3,-4.802888368
110.4,-4.804751327
110.5,-4.806628503
110.6,-4.808519876
110.7,-4.810425428
110.8,-4.812345139
110.9,-4.814278989
111,-4.81622696
111.1,-4.818189031
111.2,-4.820165184
111.3,-4.822155398
111.4,-4.824159653
111.5,-4.82617793
111.6,-4.828210207
111.7,-4.830256464
111.8,-4.83231668
111.9,-4.834390836
112,-4.836478909
112.1,-4.83858088
112.2,-4.840696726
112.3,-4.842826427
112.4,-4.844969961
112.5,-4.847127306
112.6,-4.849298442
112.7,-4.851483345
112.8,-4.853681995
112.9,-4.855894368
113,-4.858120444
113.1,-4.860360199
113.2,-4.862613611
113.3,-4.864880657
113.4,-4.867161315
113.5,-4.869455562
113.6,-4.871763374
113.7,-4.874084729
113.8,-4.876419602
113.9,-4.878767971
114,-4.881129812
114.1,-4.883505101
114.2,-4.885893815
114.3,-4.888295929
114.4,-4.890711419
114.5,-4.893140261
114.6,-4.895582431
114.7,-4.898037903
114.8,-4.900506654
114.9,-4.902988659
115,-4.905483893
115.1,-4.90799233
115.2,-4.910513946
115.3,-4.913048715
115.4,-4.915596611
115.5,-4.91815761
115.6,-4.920731684
115.7,-4.92331881
115.8,-4.925918959
115.9,-4.928532107
116,-4.931158226
116.1,-4.933797291
116.2,-4.936449275
116.3,-4.939114151
116.4,-4.941791893
116.5,-4.944482472
116.6,-4.947185863
116.7,-4.949902037
116.8,-4.952630969
116.9,-4.955372629
117,-4.958126991
117.1,-4.960894026
117.2,-4.963673707
117.3,-4.966466005
117.4,-4.969270893
117.5,-4.972088341
117.6,-4.974918322
117.7,-4.977760807
117.8,-4.980615767
117.9,-4.983483172
118,-4.986362995
118.1,-4.989255206
118.2,-4.992159776
118.3,-4.995076675
118.4,-4.998005874
118.5,-5.000947342
118.6,-5.003901051
118.7,-5.00686697
118.8,-5.009845069
118.9,-5.012835319
119,-5.015837687
119.1,-5.018852145
119.2,-5.021878661
119.3,-5.024917206
119.4,-5.027967747
119.5,-5.031030254
119.6,-5.034104696
119.7,-5.037191041
119.8,-5.040289259
119.9,-5.043399317
120,-5.046521185
120.1,-5.04965483
120.2,-5.05280022
120.3,-5.055957324
120.4,-5.059126108
120.5,-5.062306542
120.6,-5.065498592
120.7,-5.068702226
120.8,-5.071917412
120.9,-5.075144117
121,-5.078382307
121.1,-5.08163195
121.2,-5.084893014
121.3,-5.088165465
121.4,-5.091449269
121.5,-5.094744394
121.6,-5.098050806
121.7,-5.101368472
121.8,-5.104697358
121.9,-5.108037429
122,-5.111388653
122.1,-5.114750995
122.2,-5.118124422
122.3,-5.121508898
122.4,-5.12490439
122.5,-5.128310863
122.6,-5.131728283
122.7,-5.135156615
122.8,-5.138595824
122.9,-5.142045875
123,-5.145506734
123.1,-5.148978364
123.2,-5.152460732
123.3,-5.155953801
123.4,-5.159457536
123.5,-5.162971902
123.6,-5.166496862
123.7,-5.170032382
123.8,-5.173578425
123.9,-5.177134956
124,-5.180701938
124.1,-5.184279335
124.2,-5.187867112
124.3,-5.191465231
124.4,-5.195073656
124.5,-5.19869235
124.6,-5.202321278
124.7,-5.205960401
124.8,-5.209609684
124.9,-5.213269088
125,-5.216938578
125.1,-5.220618116
125.2,-5.224307664
125.3,-5.228007185
125.4,-5.231716641
125.5,-5.235435995
125.6,-5.23916521
125.7,-5.242904246
125.8,-5.246653066
125.9,-5.250411632
126,-5.254179905
126.1,-5.257957848
126.2,-5.261745421
126.3,-5.265542586
126.4,-5.269349304
126.5,-5.273165536
126.6,-5.276991244
126.7,-5.280826389
126.8,-5.284670931
126.9,-5.288524831
127,-5.29238805
127.1,-5.296260548
127.2,-5.300142286
127.3,-5.304033225
127.4,-5.307933324
127.5,-5.311842545
127.6,-5.315760846
127.7,-5.319688188
127.8,-5.323624532
127.9,-5.327569836
128,-5.33152406
128.1,-5.335487165
128.2,-5.33945911
128.3,-5.343439855
128.4,-5.347429358
128.5,-5.35142758
128.6,-5.355434479
128.7,-5.359450015
128.8,-5.363474148
128.9,-5.367506835
129,-5.371548036
129.1,-5.37559771
129.2,-5.379655816
129.3,-5.383722311
