time,Xm
1592,-2.07776
1593,-2.16443
1594,-2.25045
1595,-2.33929
1596,-2.42834
1597,-2.51848
1598,-2.60775
1599,-2.69854
1600,-2.78976
1601,-2.88228
1602,-2.97458
1603,-3.06667
1604,-3.16071
1605,-3.25387
1606,-3.34835
1607,-3.44195
1608,-3.53577
1609,-3.63067
1610,-3.72406
1611,-3.81723
1612,-3.91105
1613,-4.00314
1614,-4.09609
1615,-4.18796
1616,-4.28005
1617,-4.37235
1618,-4.46292
1619,-4.55284
1620,-4.64038
1621,-4.73008
1622,-4.8161
1623,-4.90429
1624,-4.98944
1625,-5.07459
1626,-5.1591
1627,-5.24078
1628,-5.32312
1629,-5.40134
1630,-5.48043
1631,-5.55713
1632,-5.63448
1633,-5.70815
1634,-5.7803
1635,-5.85159
1636,-5.92071
1637,-5.9894
1638,-6.057
1639,-6.12092
1640,-6.18397
1641,-6.2455
1642,-6.30552
1643,-6.36446
1644,-6.42058
1645,-6.47583
1646,-6.52827
1647,-6.5781
1648,-6.62642
1649,-6.67474
1650,-6.72067
1651,-6.76531
1652,-6.80647
1653,-6.84591
1654,-6.8834
1655,-6.91936
1656,-6.95425
1657,-6.98567
1658,-7.01687
1659,-7.04438
1660,-7.07147
1661,-7.0979
1662,-7.12174
1663,-7.14254
1664,-7.16312
1665,-7.18089
1666,-7.19866
1667,-7.21361
1668,-7.22682
1669,-7.23766
